time	V(Vin,Vc)	V(vc)	I(C1)
2.303823107191692e-002	2.140022e+000	4.859978e+000	1.981501e-003
2.314063107191631e-002	2.128779e+000	4.871221e+000	1.971091e-003
2.324303107191570e-002	2.117595e+000	4.882405e+000	1.960736e-003
2.334543107191510e-002	2.106470e+000	4.893530e+000	1.950435e-003
2.344783107191449e-002	2.095403e+000	4.904597e+000	1.940188e-003
2.355023107191388e-002	2.084395e+000	4.915605e+000	1.929995e-003
2.365263107191327e-002	2.073444e+000	4.926556e+000	1.919856e-003
2.375503107191266e-002	2.062551e+000	4.937449e+000	1.909769e-003
2.385743107191206e-002	2.051715e+000	4.948285e+000	1.899736e-003
2.395983107191145e-002	2.040936e+000	4.959064e+000	1.889756e-003
2.406223107191084e-002	2.030214e+000	4.969786e+000	1.879827e-003
2.416463107191023e-002	2.019547e+000	4.980453e+000	1.869952e-003
2.426703107190962e-002	2.008938e+000	4.991062e+000	1.860128e-003
2.436943107190901e-002	1.998384e+000	5.001616e+000	1.850355e-003
2.447183107190841e-002	1.987885e+000	5.012115e+000	1.840634e-003
2.457423107190780e-002	1.977441e+000	5.022559e+000	1.830964e-003
2.467663107190719e-002	1.967052e+000	5.032948e+000	1.821345e-003
2.477903107190658e-002	1.956718e+000	5.043282e+000	1.811776e-003
2.488143107190597e-002	1.946438e+000	5.053562e+000	1.802258e-003
2.498383107190537e-002	1.936213e+000	5.063787e+000	1.792789e-003
2.508623107190476e-002	1.926040e+000	5.073960e+000	1.783371e-003
2.518863107190415e-002	1.915921e+000	5.084079e+000	1.774001e-003
2.529103107190354e-002	1.905856e+000	5.094144e+000	1.764681e-003
2.539343107190293e-002	1.895843e+000	5.104157e+000	1.755410e-003
2.549583107190232e-002	1.885883e+000	5.114117e+000	1.746188e-003
2.559823107190172e-002	1.875975e+000	5.124025e+000	1.737014e-003
2.570063107190111e-002	1.866120e+000	5.133880e+000	1.727889e-003
2.580303107190050e-002	1.856316e+000	5.143684e+000	1.718811e-003
2.590543107189989e-002	1.846563e+000	5.153437e+000	1.709781e-003
2.600783107189928e-002	1.836862e+000	5.163138e+000	1.700798e-003
2.611023107189868e-002	1.827212e+000	5.172788e+000	1.691863e-003
2.621263107189807e-002	1.817613e+000	5.182387e+000	1.682974e-003
2.631503107189746e-002	1.808064e+000	5.191936e+000	1.674133e-003
2.641743107189685e-002	1.798564e+000	5.201436e+000	1.665337e-003
2.651983107189624e-002	1.789115e+000	5.210885e+000	1.656588e-003
2.662223107189564e-002	1.779716e+000	5.220284e+000	1.647885e-003
2.672463107189503e-002	1.770366e+000	5.229634e+000	1.639228e-003
2.682703107189442e-002	1.761065e+000	5.238935e+000	1.630616e-003
2.692943107189381e-002	1.751813e+000	5.248187e+000	1.622049e-003
2.703183107189320e-002	1.742610e+000	5.257390e+000	1.613528e-003
2.713423107189259e-002	1.733455e+000	5.266545e+000	1.605051e-003
2.723663107189199e-002	1.724348e+000	5.275652e+000	1.596618e-003
2.733903107189138e-002	1.715289e+000	5.284711e+000	1.588230e-003
2.744143107189077e-002	1.706277e+000	5.293723e+000	1.579886e-003
2.754383107189016e-002	1.697313e+000	5.302687e+000	1.571586e-003
2.764623107188955e-002	1.688396e+000	5.311604e+000	1.563330e-003
2.774863107188895e-002	1.679526e+000	5.320474e+000	1.555116e-003
2.785103107188834e-002	1.670702e+000	5.329298e+000	1.546946e-003
2.795343107188773e-002	1.661925e+000	5.338075e+000	1.538819e-003
2.805583107188712e-002	1.653193e+000	5.346807e+000	1.530735e-003
2.815823107188651e-002	1.644508e+000	5.355492e+000	1.522693e-003
2.826063107188591e-002	1.635869e+000	5.364131e+000	1.514693e-003
2.836303107188530e-002	1.627275e+000	5.372725e+000	1.506736e-003
2.846543107188469e-002	1.618725e+000	5.381275e+000	1.498820e-003
2.856783107188408e-002	1.610221e+000	5.389779e+000	1.490945e-003
2.867023107188347e-002	1.601762e+000	5.398238e+000	1.483113e-003
2.877263107188286e-002	1.593347e+000	5.406653e+000	1.475321e-003
2.887503107188226e-002	1.584976e+000	5.415024e+000	1.467570e-003
